ensembl_gene_id,gene_biotype,gene
ENSG00000005059,protein_coding,MCUB
ENSG00000005075,protein_coding,POLR2J
ENSG00000005100,protein_coding,DHX33
ENSG00000005102,protein_coding,MEOX1
ENSG00000005108,protein_coding,THSD7A
ENSG00000005156,protein_coding,LIG3
ENSG00000005175,protein_coding,RPAP3
ENSG00000005187,protein_coding,ACSM3
ENSG00000005189,protein_coding,REXO5
ENSG00000005194,protein_coding,CIAPIN1
ENSG00000005238,protein_coding,FAM214B
ENSG00000005249,protein_coding,PRKAR2B
ENSG00000005302,protein_coding,MSL3
ENSG00000005339,protein_coding,CREBBP
ENSG00000005379,protein_coding,TSPOAP1
ENSG00000005421,protein_coding,PON1
ENSG00000005436,protein_coding,GCFC2
ENSG00000005448,protein_coding,WDR54
ENSG00000005469,protein_coding,CROT
ENSG00000005483,protein_coding,KMT2E
ENSG00000005486,protein_coding,RHBDD2
ENSG00000005513,protein_coding,SOX8
ENSG00000005700,protein_coding,IBTK
ENSG00000005801,protein_coding,ZNF195
ENSG00000005810,protein_coding,MYCBP2
ENSG00000005812,protein_coding,FBXL3
ENSG00000005844,protein_coding,ITGAL
ENSG00000005882,protein_coding,PDK2
ENSG00000005884,protein_coding,ITGA3
ENSG00000005889,protein_coding,ZFX
ENSG00000005893,protein_coding,LAMP2
ENSG00000005961,protein_coding,ITGA2B
ENSG00000005981,protein_coding,ASB4
ENSG00000006007,protein_coding,GDE1
ENSG00000006015,protein_coding,REX1BD
ENSG00000006016,protein_coding,CRLF1
ENSG00000006025,protein_coding,OSBPL7
ENSG00000006042,protein_coding,TMEM98
ENSG00000006071,protein_coding,ABCC8
ENSG00000006116,protein_coding,CACNG3
ENSG00000006118,protein_coding,TMEM132A
ENSG00000006125,protein_coding,AP2B1
ENSG00000006128,protein_coding,TAC1
ENSG00000006194,protein_coding,ZNF263
ENSG00000006210,protein_coding,CX3CL1
ENSG00000006282,protein_coding,SPATA20
ENSG00000006283,protein_coding,CACNA1G
ENSG00000006327,protein_coding,TNFRSF12A
ENSG00000006377,protein_coding,DLX6
ENSG00000006432,protein_coding,MAP3K9
ENSG00000006451,protein_coding,RALA
ENSG00000006453,protein_coding,BAIAP2L1
ENSG00000006459,protein_coding,KDM7A
ENSG00000006468,protein_coding,ETV1
ENSG00000006530,protein_coding,AGK
ENSG00000006576,protein_coding,PHTF2
ENSG00000006607,protein_coding,FARP2
