"geneSet","description","NES","FDR","Function","Datatype"
"GO:0019932","second-messenger-mediated signaling",-1.59672136821548,0.0715470674569003,"GO","FP_CTCDT"
"GO:1901342","regulation of vasculature development",-1.59068711008583,0.072757065625757,"GO","FP_CTCDT"
"GO:0018198","peptidyl-cysteine modification",-1.58736058877214,0.0738588006870095,"GO","FP_CTCDT"
"GO:0034113","heterotypic cell-cell adhesion",-1.57804685994203,0.0762011052523094,"GO","FP_CTCDT"
"GO:0001562","response to protozoan",-1.57350549396729,0.0777206084464766,"GO","FP_CTCDT"
"GO:0050867","positive regulation of cell activation",-1.56847987196562,0.0799522693994826,"GO","FP_CTCDT"
"GO:0032623","interleukin-2 production",-1.56649423107155,0.0799724103549948,"GO","FP_CTCDT"
"GO:0006839","mitochondrial transport",-1.56287145960785,0.0813496803551008,"GO","FP_CTCDT"
"GO:0050817","coagulation",-1.54956971908844,0.0843876161815281,"GO","FP_CTCDT"
"GO:0048010","vascular endothelial growth factor receptor signaling pathway",-1.55127319037243,0.0845222888251125,"GO","FP_CTCDT"
"GO:0043434","response to peptide hormone",-1.55205674646898,0.0851147377532537,"GO","FP_CTCDT"
"GO:0003158","endothelium development",-1.5523205298615,0.0861716610181035,"GO","FP_CTCDT"
"GO:0006457","protein folding",-1.55307039077163,0.0868526065328501,"GO","FP_CTCDT"
"GO:0150076","neuroinflammatory response",-1.5286334315852,0.088323987431084,"GO","FP_CTCDT"
"GO:0042060","wound healing",-1.53168909575296,0.088595028059147,"GO","FP_CTCDT"
"GO:0048545","response to steroid hormone",-1.5405315878986,0.0886411902841058,"GO","FP_CTCDT"
"GO:0006979","response to oxidative stress",-1.52679179469332,0.0886709039001713,"GO","FP_CTCDT"
"GO:0031349","positive regulation of defense response",-1.54096505174689,0.0894018730724227,"GO","FP_CTCDT"
"GO:0052547","regulation of peptidase activity",-1.53196026491229,0.0895132670158582,"GO","FP_CTCDT"
"GO:0009266","response to temperature stimulus",-1.53448924257834,0.0899438108854783,"GO","FP_CTCDT"
"GO:0002440","production of molecular mediator of immune response",-1.5354119604429,0.0903053384938717,"GO","FP_CTCDT"
"GO:0035924","cellular response to vascular endothelial growth factor stimulus",-1.53201801343769,0.090561752172316,"GO","FP_CTCDT"
"GO:1902600","proton transmembrane transport",-1.53554765399973,0.0913476929125383,"GO","FP_CTCDT"
"GO:0097696","receptor signaling pathway via STAT",-1.51925511303083,0.0915029242861151,"GO","FP_CTCDT"
"GO:0055062","phosphate ion homeostasis",1.80723812974897,0.0922672373288902,"GO","FP_CTCDT"
"GO:0008217","regulation of blood pressure",-1.52081527535027,0.0923062279867583,"GO","FP_CTCDT"
"GO:0070371","ERK1 and ERK2 cascade",-1.5143722780195,0.0940931920108226,"GO","FP_CTCDT"
"GO:0006909","phagocytosis",-1.50057674556953,0.102244704223926,"GO","FP_CTCDT"
"GO:0140962","multicellular organismal-level chemical homeostasis",-1.49867954755026,0.102577633200624,"GO","FP_CTCDT"
"GO:0046685","response to arsenic-containing substance",-1.49727022698008,0.102587041403248,"GO","FP_CTCDT"
"GO:0019693","ribose phosphate metabolic process",-1.49393265421041,0.103243481767719,"GO","FP_CTCDT"
"GO:0038034","signal transduction in absence of ligand",-1.49484251776213,0.10353589783864,"GO","FP_CTCDT"
"GO:0071216","cellular response to biotic stimulus",-1.48722645562128,0.104312002751527,"GO","FP_CTCDT"
"GO:1903034","regulation of response to wounding",-1.48608186284567,0.104338442887651,"GO","FP_CTCDT"
"GO:0009612","response to mechanical stimulus",-1.487315462633,0.105257841963918,"GO","FP_CTCDT"
"GO:0045116","protein neddylation",-1.4875036005577,0.106213855998312,"GO","FP_CTCDT"
"GO:0021510","spinal cord development",1.81395468583696,0.106779048694492,"GO","FP_CTCDT"
"GO:0034976","response to endoplasmic reticulum stress",-1.47951788461094,0.107135235357086,"GO","FP_CTCDT"
"GO:0001963","synaptic transmission",-0.519339513128656,0.0511073253833049,"GO","FP_CTCDT"
"GO:0043086","negative regulation of catalytic activity",-1.47298187882424,0.10851800686242,"GO","FP_CTCDT"
"GO:0060004","reflex",1.77101601983354,0.108785776612588,"GO","FP_CTCDT"
"GO:0050878","regulation of body fluid levels",-1.4737852376645,0.108933222524537,"GO","FP_CTCDT"
"GO:0002040","sprouting angiogenesis",-1.47000306354949,0.109000723317632,"GO","FP_CTCDT"
"GO:0098743","cell aggregation",1.62874994074123,0.109419480165671,"GO","FP_CTCDT"
"GO:0031348","negative regulation of defense response",-1.45142129327316,0.109905734080061,"GO","FP_CTCDT"
"GO:2001057","reactive nitrogen species metabolic process",-1.45031486485533,0.10997983062075,"GO","FP_CTCDT"
"GO:0007187","G protein-coupled receptor signaling pathway",0.448860303111025,0.0115207373271889,"GO","FP_CTCDT"
"GO:0006090","pyruvate metabolic process",-1.45204646229925,0.110195439930965,"GO","FP_CTCDT"
"GO:0034341","response to type II interferon",-1.44874623163642,0.110457258158856,"GO","FP_CTCDT"
"GO:1903317","regulation of protein maturation",-1.45212287354095,0.111006253766687,"GO","FP_CTCDT"
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",1.59334387861466,0.111260238105579,"GO","FP_CTCDT"
"GO:1903131","mononuclear cell differentiation",-1.45259760080695,0.111530600213013,"GO","FP_CTCDT"
"GO:0006399","tRNA metabolic process",-1.44573011567613,0.112070220164264,"GO","FP_CTCDT"
"GO:0032102","negative regulation of response to external stimulus",-1.45284772558603,0.112228842813519,"GO","FP_CTCDT"
"GO:0046530","photoreceptor cell differentiation",1.69228172885201,0.112587997931086,"GO","FP_CTCDT"
"GO:0031128","developmental induction",1.83410603878544,0.113221701484169,"GO","FP_CTCDT"
"GO:0031400","negative regulation of protein modification process",-1.45618329234862,0.11323665240954,"GO","FP_CTCDT"
"GO:0034394","protein localization to cell surface",1.58203289226504,0.113348442194786,"GO","FP_CTCDT"
"GO:0045165","cell fate commitment",1.61870079525692,0.113375326587947,"GO","FP_CTCDT"
"GO:0051703","biological process involved in intraspecies interaction between organisms",1.59576835015523,0.113409465499898,"GO","FP_CTCDT"
